date,nav,cash,positions_value
2024-02-20,498797.28724,119707.28724,379090.0
2024-02-21,508664.93844,85151.93844,423513.0
2024-02-22,508045.93844,85151.93844,422894.0
2024-02-23,505441.93844,85151.93844,420290.0
