date,nav,cash,positions_value
2025-04-01,502266.25253999996,425524.67947,76741.57306999998
2025-04-02,501999.03322,444762.69827,57236.334950000004
2025-04-03,501370.77391,411885.58307,89485.19084
2025-04-04,501245.30857,421441.8598,79803.44876999999
2025-04-07,497165.76927499997,421441.8598,75723.909475
2025-04-08,496641.18541,421441.8598,75199.32561
2025-04-09,497209.56893999997,430830.84940999997,66378.71953
2025-04-10,495204.9340479999,381974.32580999995,113230.60823799999
2025-04-11,496194.77790399996,381974.32580999995,114220.45209400001
2025-04-14,496532.4804359999,381974.32580999995,114558.154626
2025-04-15,496877.1060479999,368211.15820999997,128665.947838
2025-04-16,496948.73060699995,412793.542514,84155.188093
2025-04-17,497902.61699899996,448679.749899,49222.8671
2025-04-21,501087.21227,359907.126183,141180.08608700003
2025-04-22,500157.67428299994,371010.38308299996,129147.2912
2025-04-23,500194.17859599995,377043.81223899993,123150.366357
2025-04-24,504724.8087359999,312621.6528589999,192103.155877
2025-04-25,503950.9199439999,373067.1305089999,130883.789435
2025-04-28,502984.93558399996,373067.1305089999,129917.80507500001
2025-04-29,502097.60717199993,363204.97530899994,138892.631863
2025-04-30,500705.1968989999,390640.06298899994,110065.13390999999
2025-05-01,501576.361787,354604.370747,146971.99104
2025-05-02,501576.361787,354604.370747,146971.99104
2025-05-05,501576.361787,354604.370747,146971.99104
2025-05-06,500562.30320699996,354604.370747,145957.93245999998
2025-05-07,500947.96740499994,341157.08385199995,159790.883553
2025-05-08,501848.279507,341157.08385199995,160691.19565500002
2025-05-09,504069.680518,281338.793272,222730.887246
2025-05-12,503505.3709,333585.08015199995,169920.290748
2025-05-13,506736.0863779999,283224.47992799996,223511.60644999996
2025-05-14,506324.171499,283224.47992799996,223099.69157100003
2025-05-15,506168.833826,283224.47992799996,222944.35389800003
2025-05-16,504939.0978949999,384180.23518399993,120758.862711
2025-05-19,505008.13982999994,384180.23518399993,120827.904646
2025-05-20,507591.40741299995,384180.23518399993,123411.172229
2025-05-21,507204.4661099999,320238.18590299995,186966.280207
2025-05-22,506230.7690199999,359710.2658449999,146520.503175
2025-05-23,504026.47999699996,353264.8327149999,150761.64728200002
2025-05-27,505232.03681099985,380041.7910189999,125190.245792
2025-05-28,508810.9580239999,326639.7845229999,182171.17350099998
2025-05-29,512681.5498789999,326639.7845229999,186041.765356
2025-05-30,508867.7727969999,391865.2628629999,117002.509934
2025-06-02,508242.94111699995,333131.08494299994,175111.85617400002
2025-06-03,505344.20806,346283.84107699996,159060.366983
2025-06-04,505835.96538699995,346283.84107699996,159552.12430999998
2025-06-05,507053.53511299996,340543.42327699997,166510.111836
2025-06-06,506990.28423,340543.42327699997,166446.86095300002
2025-06-09,508573.70867599995,288646.75986799994,219926.94880800002
2025-06-10,507884.90911999997,333862.10111799993,174022.808002
2025-06-11,509949.4948299999,333862.10111799993,176087.393712
2025-06-12,508200.22374399996,292401.176734,215799.04701
2025-06-16,502291.07315899996,292401.176734,209889.89642499998
2025-06-17,500007.295534,264151.98814399994,235855.30739000003
2025-06-18,500741.95644999994,294776.98814399994,205964.968306
2025-06-20,497735.2479539999,294776.98814399994,202958.25981
2025-06-23,495470.80941799993,294776.98814399994,200693.821274
2025-06-24,499460.00808999996,333236.45534399996,166223.552746
2025-06-25,502470.561904,333236.45534399996,169234.10656000001
2025-06-26,499900.7024549999,320704.17876899993,179196.523686
2025-06-27,501585.50985199993,320704.17876899993,180881.331083
2025-06-30,505742.6119789999,320704.17876899993,185038.43321
